Date,Close
2/1/18,260.75
3/1/18,261.15
4/1/18,261.55
5/1/18,262.9
8/1/18,265.6
9/1/18,270.55
10/1/18,269.4
11/1/18,269.8
12/1/18,267.55
15/1/18,267.6
16/1/18,261.7
17/1/18,266.05
18/1/18,273.4
19/1/18,274.55
22/1/18,273.65
23/1/18,276.6
24/1/18,281.45
25/1/18,281.25
29/1/18,275.65
30/1/18,275.2
31/1/18,271.4
1/2/18,275.3
2/2/18,275.35
5/2/18,279.25
6/2/18,273.5
7/2/18,275.15
8/2/18,274.1
9/2/18,271.35
12/2/18,269.85
14/2/18,266.5
15/2/18,268.1
16/2/18,266.45
19/2/18,264.1
20/2/18,263.25
21/2/18,268.2
22/2/18,267.1
23/2/18,269.05
26/2/18,266.55
27/2/18,266.4
28/2/18,265.05
1/3/18,264
5/3/18,260.25
6/3/18,256.5
7/3/18,259.9
8/3/18,258.85
9/3/18,259.25
12/3/18,270.1
13/3/18,269.45
14/3/18,268.05
15/3/18,265.55
16/3/18,260.5
19/3/18,259.15
20/3/18,259.2
21/3/18,259.05
22/3/18,258.3
23/3/18,256
26/3/18,258.1
27/3/18,258.9
28/3/18,255.5
2/4/18,258.25
3/4/18,258.5
4/4/18,258.6
5/4/18,259.65
6/4/18,260.85
9/4/18,265.8
10/4/18,266.7
11/4/18,265.15
12/4/18,261.95
13/4/18,260.75
16/4/18,264.45
17/4/18,267.6
18/4/18,275.35
19/4/18,277.35
20/4/18,276.2
23/4/18,275.5
24/4/18,276
25/4/18,274.1
26/4/18,278.25
27/4/18,279.4
30/4/18,281.45
2/5/18,287.25
3/5/18,285
4/5/18,277.15
7/5/18,282.25
8/5/18,282.7
9/5/18,282.3
10/5/18,280.15
11/5/18,283.65
14/5/18,284.8
15/5/18,281.85
16/5/18,285.85
17/5/18,278.95
18/5/18,282.3
21/5/18,282.35
22/5/18,278.75
23/5/18,273.45
24/5/18,274.85
25/5/18,272.3
28/5/18,275.3
29/5/18,274.05
30/5/18,271.9
31/5/18,271.65
1/6/18,269.95
4/6/18,268.9
5/6/18,267.5
6/6/18,270.4
7/6/18,271.05
8/6/18,267.9
11/6/18,269.25
12/6/18,270.25
13/6/18,267.85
14/6/18,267.25
15/6/18,264.5
18/6/18,264.55
19/6/18,266.05
20/6/18,263.75
21/6/18,260.85
22/6/18,265.15
25/6/18,262.6
26/6/18,264.8
27/6/18,262.75
28/6/18,260.5
29/6/18,266.2
2/7/18,263.05
3/7/18,265.45
4/7/18,264.4
5/7/18,272.5
6/7/18,272.65
